# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_30891.root : dRtdkH1
# GENERATED: 2025-11-17 12:59:52
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.908069
# E_MAX_AVAILABLE 11.409712
# TOTAL_BINS 649
# TOTAL_COUNTS 13709111067.85
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.908069  2.933479  21931276.9956
2.933479  2.966108  23242152.2423
2.966108  2.991541  24477452.7254
2.991541  3.024251  25622622.8549
3.024251  3.049684  26665289.2215
3.049684  3.082313  27595609.7938
3.082313  3.107746  28406510.6082
3.107746  3.140549  29093801.1771
3.140549  3.165924  29656167.4830
3.165924  3.198716  30095048.8451
3.198716  3.224033  30414411.5374
3.224033  3.256917  30620437.3350
3.256917  3.282199  30721148.8410
3.282199  3.315014  30725995.3231
3.315014  3.340273  30645422.8953
3.340273  3.373250  30490451.3647
3.373250  3.398439  30272277.2276
3.398439  3.431498  30001918.5000
3.431498  3.456652  29689912.7245
3.456652  3.489746  29346074.9993
3.489746  3.514877  28979318.5826
3.514877  3.548028  28597536.8235
3.548028  3.573136  28207542.0603
3.573136  3.604591  27815054.8065
3.604591  3.628722  27424735.0529
3.628722  3.662932  27040246.7912
3.662932  3.686935  26664346.8183
3.686935  3.721214  26298989.3741
3.721214  3.745125  25945439.0512
3.745125  3.779334  25604385.5493
3.779334  3.803187  25276055.0922
3.803187  3.837617  24960314.5839
3.837617  3.861446  24656765.7538
3.861446  3.895818  24364827.5933
3.895818  3.919543  24083806.2728
3.919543  3.954206  23812952.4461
3.954206  3.977861  23551506.4078
3.977861  4.012558  23298731.9722
4.012558  4.036132  23053940.2272
4.036132  4.070911  22816504.4869
4.070911  4.094403  22585867.8573
4.094403  4.171110  22361544.8465
4.171110  4.195311  22143118.4148
4.195311  4.229218  21930233.7765
4.229218  4.253326  21722590.1437
4.253326  4.287373  21519931.4565
4.287373  4.311400  21322036.9681
4.311400  4.345574  21128712.3734
4.345574  4.369496  20939781.9780
4.369496  4.403067  20755082.2257
4.403067  4.426442  20574456.7310
4.426442  4.461268  20397752.8233
4.461268  4.484562  20224819.4903
4.484562  4.519946  20055506.5271
4.519946  4.543554  19889664.6469
4.543554  4.577985  19727146.2880
4.577985  4.601465  19567806.8594
4.601465  4.635988  19411506.1919
4.635988  4.659364  19258110.0012
4.659364  4.694039  19107491.2142
4.694039  4.717298  18959531.0592
4.717298  4.750833  18814119.8601
4.750833  4.773128  18671157.5157
4.773128  4.808733  18530553.6725
4.808733  4.831260  18392227.6217
4.831260  4.868701  18256107.9648
4.868701  4.890868  18122132.0988
4.890868  4.925624  17990245.5743
4.925624  4.947883  17860401.3773
4.947883  4.984046  17732559.1795
4.984046  5.007387  17606684.5958
5.007387  5.041759  17482748.4768
5.041759  5.062670  17360726.2573
5.062670  5.100948  17240597.3706
5.100948  5.123662  17122344.7325
5.123662  5.156976  17005954.2887
5.156976  5.178922  16891414.6170
5.178922  5.217060  16778716.5708
5.217060  5.238518  16667852.9505
5.238518  5.273820  16558818.1904
5.273820  5.295418  16451608.0532
5.295418  5.332278  16346219.3312
5.332278  5.354875  16242649.5571
5.354875  5.389933  16140896.7394
5.389933  5.410170  16040959.1395
5.410170  5.447960  15942835.1143
5.447960  5.469243  15846523.0497
5.469243  5.505301  15752021.4055
5.505301  5.526515  15659328.8884
5.526515  5.564304  15568444.7563
5.564304  5.584204  15479369.2491
5.584204  5.616984  15392104.1220
5.616984  5.639093  15306653.2504
5.639093  5.674395  15223023.2640
5.674395  5.695958  15141224.1643
5.695958  5.733364  15061269.8825
5.733364  5.753741  14983178.7403
5.753741  5.790682  14906973.7901
5.790682  5.812488  14832683.0225
5.812488  5.848883  14760339.4470
5.848883  5.869562  14689981.0621
5.869562  5.907108  14621650.7410
5.907108  5.927089  14555396.0664
5.927089  5.964356  14491269.1466
5.964356  5.985721  14429326.4429
5.985721  6.021755  14369628.6344
6.021755  6.042411  14312240.5381
6.042411  6.080619  14257231.0963
6.080619  6.100264  14204673.4368
6.100264  6.139262  14154645.0080
6.139262  6.159325  14107227.7850
6.159325  6.196603  14062508.5427
6.196603  6.215946  14020579.1910
6.215946  6.251015  13981537.1645
6.251015  6.276809  13945485.8633
6.276809  6.309635  13912535.1423
6.309635  6.335824  13882801.8477
6.335824  6.362722  13856410.4061
6.362722  6.395734  13833493.4708
6.395734  6.426317  13814192.6352
6.426317  6.450355  13798659.2196
6.450355  6.478532  13787055.1348
6.478532  6.512044  13779553.8147
6.512044  6.541081  13776341.1948
6.541081  6.565665  13777616.6891
6.565665  6.598643  13783594.0937
6.598643  6.623413  13794502.3152
6.623413  6.654019  13810585.8007
6.654019  6.685323  13832104.5373
6.685323  6.710582  13859333.4979
6.710582  6.742118  13892561.4520
6.742118  6.771143  13932089.1281
6.771143  6.800017  13978226.8066
6.800017  6.828251  14031291.5302
6.828251  6.858881  14091604.2119
6.858881  6.886418  14159486.9814
6.886418  6.915757  14235261.1044
6.915757  6.945421  14319245.7292
6.945421  6.973575  14411757.5420
6.973575  7.017293  14513111.1672
7.017293  7.041819  14623619.8549
7.041819  7.074320  14743595.6898
7.074320  7.098916  14873348.2726
7.098916  7.133068  15013180.6162
7.133068  7.156048  15163380.8860
7.156048  7.190723  15324208.6423
7.190723  7.214726  15495874.4513
7.214726  7.247750  15678512.1546
7.247750  7.271661  15872143.7912
7.271661  7.306521  16076638.1669
7.306521  7.328851  16291665.3685
7.328851  7.364060  16516651.0334
7.364060  7.387459  16750735.7095
7.387459  7.421122  16992745.8707
7.421122  7.444358  17241183.6964
7.444358  7.479963  17494242.1768
7.479963  7.501700  17749850.2074
7.501700  7.539803  18005749.0440
7.539803  7.561377  18259597.1257
7.561377  7.594761  18509095.5034
7.594761  7.617289  18752121.8738
7.617289  7.638979  18986858.4928
