# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_51029.root : dRtdkH1
# GENERATED: 2025-11-17 12:55:25
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.911326
# E_MAX_AVAILABLE 11.422492
# TOTAL_BINS 649
# TOTAL_COUNTS 11578062027.15
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.911326  2.936765  18955196.6856
2.936765  2.969430  20140949.8056
2.969430  2.994892  21254569.3791
2.994892  3.027638  22281879.8783
3.027638  3.053100  23210981.7307
3.053100  3.085765  24032609.4612
3.085765  3.111227  24740364.4801
3.111227  3.144067  25330813.6941
3.144067  3.169470  25803454.0611
3.169470  3.202298  26160551.7652
3.202298  3.227644  26406872.1547
3.227644  3.260565  26549322.4075
3.260565  3.285876  26596532.6784
3.285876  3.318727  26558403.1070
3.318727  3.344014  26445643.5663
3.344014  3.377028  26269330.6674
3.377028  3.402246  26040502.7006
3.402246  3.435341  25769808.3601
3.435341  3.460524  25467219.7928
3.460524  3.493655  25141815.2057
3.493655  3.518814  24801631.3834
3.518814  3.552003  24453582.3278
3.552003  3.577138  24103437.0203
3.577138  3.608628  23755847.1328
3.608628  3.632787  23414414.3292
3.632787  3.667034  23081786.5325
3.667034  3.691065  22759772.9969
3.691065  3.725382  22449469.0550
3.725382  3.749320  22151382.7914
3.749320  3.783568  21865557.4576
3.783568  3.807447  21591685.0260
3.807447  3.841916  21329207.7676
3.841916  3.865771  21077406.0473
3.865771  3.900182  20835471.6191
3.900182  3.923933  20602566.5539
3.923933  3.958635  20377868.5605
3.958635  3.982316  20160603.8908
3.982316  4.017053  19950069.2794
4.017053  4.040653  19745644.5072
4.040653  4.075471  19546797.2149
4.075471  4.098989  19353081.5640
4.098989  4.175782  19164132.2657
4.175782  4.200010  18979655.3837
4.200010  4.233955  18799417.1811
4.233955  4.258090  18623232.1187
4.258090  4.292175  18450950.9390
4.292175  4.316229  18282449.5780
4.316229  4.350442  18117619.4544
4.350442  4.374391  17956359.4913
4.374391  4.407998  17798570.0409
4.407998  4.431400  17644148.7206
4.431400  4.466265  17492988.0299
4.466265  4.489586  17344974.5153
4.489586  4.525009  17199989.1828
4.525009  4.548643  17057908.8263
4.548643  4.583112  16918607.9415
4.583112  4.606619  16781960.9222
4.606619  4.641181  16647844.2843
4.641181  4.664583  16516138.7175
4.664583  4.699296  16386730.8280
4.699296  4.722582  16259514.4907
4.722582  4.756155  16134391.7822
4.756155  4.778475  16011273.5024
4.778475  4.814119  15890079.3250
4.814119  4.836671  15770737.6327
4.836671  4.874154  15653185.1030
4.874154  4.896346  15537366.1155
4.896346  4.931141  15423232.0434
4.931141  4.953426  15310740.4889
4.953426  4.989628  15199854.5127
4.989628  5.012995  15090541.8951
5.012995  5.047406  14982774.4577
5.047406  5.068341  14876527.4629
5.068341  5.106662  14771779.0973
5.106662  5.129401  14668510.0368
5.129401  5.162752  14566703.0840
5.162752  5.184723  14466342.8606
5.184723  5.222904  14367415.5366
5.222904  5.244386  14269908.5760
5.244386  5.279728  14173810.4829
5.279728  5.301349  14079110.5334
5.301349  5.338250  13985798.4918
5.338250  5.360873  13893864.3132
5.360873  5.395970  13803297.8490
5.395970  5.416230  13714088.5779
5.416230  5.454062  13626225.3925
5.454062  5.475369  13539696.4752
5.475369  5.511467  13454489.2931
5.511467  5.532705  13370590.7365
5.532705  5.570537  13287987.4103
5.570537  5.590459  13206666.0742
5.590459  5.623276  13126614.2098
5.623276  5.645409  13047820.6747
5.645409  5.680751  12970276.3960
5.680751  5.702338  12893975.0464
5.702338  5.739786  12818913.6497
5.739786  5.760185  12745093.0724
5.760185  5.797168  12672518.3703
5.797168  5.818999  12601198.9794
5.818999  5.855434  12531148.7577
5.855434  5.876137  12462385.9002
5.876137  5.913724  12394932.7612
5.913724  5.933728  12328815.6231
5.933728  5.971036  12264064.4500
5.971036  5.992425  12200712.6639
5.992425  6.028500  12138796.9687
6.028500  6.049179  12078357.2426
6.049179  6.087430  12019436.5106
6.087430  6.107096  11962081.0018
6.107096  6.146139  11906340.2892
6.146139  6.166224  11852267.5074
6.166224  6.203544  11799919.6403
6.203544  6.222908  11749357.8654
6.222908  6.258017  11700647.9448
6.258017  6.283840  11653860.6493
6.283840  6.316702  11609072.2051
6.316702  6.342921  11566364.7582
6.342921  6.369849  11525826.8541
6.369849  6.402898  11487553.9404
6.402898  6.433515  11451648.9052
6.433515  6.457580  11418222.6686
6.457580  6.485788  11387394.8474
6.485788  6.519338  11359294.5074
