# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_50699.root : dRtdkH1
# GENERATED: 2025-11-17 12:54:03
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.910323
# E_MAX_AVAILABLE 11.418555
# TOTAL_BINS 649
# TOTAL_COUNTS 15234544480.08
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.910323  2.935753  24997255.1379
2.935753  2.968407  26651112.9632
2.968407  2.993860  28197203.4251
2.993860  3.026595  29613825.1278
3.026595  3.052048  30883092.2299
3.052048  3.084702  31991519.0537
3.084702  3.110155  32930374.6637
3.110155  3.142983  33695793.9374
3.142983  3.168378  34288649.2307
3.168378  3.201195  34714203.2063
3.201195  3.226532  34981577.3034
3.226532  3.259441  35103080.5729
3.259441  3.284743  35093449.5291
3.284743  3.317583  34969051.1019
3.317583  3.342862  34747097.9905
3.342862  3.375865  34444919.4175
3.375865  3.401073  34079321.3905
3.401073  3.434158  33666060.2066
3.434158  3.459331  33219442.1666
3.459331  3.492451  32752052.2908
3.492451  3.517601  32274606.0246
3.517601  3.550779  31795911.0177
3.550779  3.575906  31322921.3172
3.575906  3.607385  30860863.7407
3.607385  3.631535  30413415.5956
3.631535  3.665771  29982913.9464
3.665771  3.689793  29570578.8701
3.689793  3.724099  29176736.1475
3.724099  3.748028  28801028.1777
3.748028  3.782264  28442605.2381
3.782264  3.806135  28100292.2607
3.806135  3.840592  27772728.8875
3.840592  3.864439  27458482.6185
3.864439  3.898838  27156136.3533
3.898838  3.922581  26864352.6124
3.922581  3.957271  26581917.2684
3.957271  3.980944  26307765.8412
3.980944  4.015669  26040995.3947
4.015669  4.039260  25780864.9175
4.039260  4.074066  25526786.8424
4.074066  4.097577  25278312.1005
4.097577  4.174343  25035110.8538
4.174343  4.198563  24796950.7969
4.198563  4.232496  24563674.6820
4.232496  4.256623  24335178.4701
4.256623  4.290696  24111391.2558
4.290696  4.314742  23892257.8420
4.314742  4.348943  23677724.5512
4.348943  4.372883  23467728.5756
4.372883  4.406479  23262190.8930
4.406479  4.429873  23061012.5272
4.429873  4.464726  22864073.7377
4.464726  4.488039  22671235.5804
4.488039  4.523449  22482343.2068
4.523449  4.547076  22297230.2609
4.547076  4.581533  22115723.7749
4.581533  4.605032  21937649.0535
4.605032  4.639582  21762834.1513
4.639582  4.662976  21591113.6714
4.662976  4.697677  21422331.7331
4.697677  4.720955  21256344.0611
4.720955  4.754516  21093019.2298
4.754516  4.776828  20932239.1557
4.776828  4.812460  20773898.9634
4.812460  4.835005  20617906.3643
4.835005  4.872475  20464180.6884
4.872475  4.894659  20312651.6971
4.894659  4.929441  20163258.2883
4.929441  4.951719  20015947.1865
4.951719  4.987909  19870671.6900
4.987909  5.011268  19727390.5272
5.011268  5.045667  19586066.8579
5.045667  5.066595  19446667.4344
5.066595  5.104902  19309161.9249
5.104902  5.127633  19173522.3848
5.127633  5.160973  19039722.8504
5.160973  5.182936  18907739.0201
5.182936  5.221104  18777547.9844
5.221104  5.242579  18649127.9615
5.242579  5.277908  18522458.0036
5.277908  5.299522  18397517.6453
5.299522  5.336411  18274286.4804
5.336411  5.359025  18152743.6727
5.359025  5.394110  18032867.4237
5.394110  5.414363  17914634.4411
5.414363  5.452182  17798019.4684
5.452182  5.473482  17682994.9418
5.473482  5.509568  17569530.8410
5.509568  5.530798  17457594.7895
5.530798  5.568617  17347152.4337
5.568617  5.588533  17238168.1002
5.588533  5.621338  17130605.6975
5.621338  5.643464  17024429.7904
5.643464  5.678793  16919606.7553
5.678793  5.700373  16816105.9087
5.700373  5.737808  16713900.5069
5.737808  5.758200  16612968.5316
5.758200  5.795170  16513293.2098
5.795170  5.816994  16414863.2492
5.816994  5.853417  16317672.8126
5.853417  5.874112  16221721.2785
5.874112  5.911686  16127012.8627
5.911686  5.931683  16033556.1757
5.931683  5.968979  15941363.7921
5.968979  5.990360  15850451.8925
5.990360  6.026423  15760840.0241
6.026423  6.047095  15672551.0069
6.047095  6.085332  15585611.0016
6.085332  6.104992  15500049.7410
6.104992  6.144021  15415900.9209
6.144021  6.164099  15333202.7405
6.164099  6.201406  15251998.5771
6.201406  6.220764  15172337.7721
6.220764  6.255861  15094276.5056
6.255861  6.281674  15017878.7274
6.281674  6.314526  14943217.1199
6.314526  6.340735  14870374.0698
6.340735  6.367654  14799442.6418
6.367654  6.400691  14730527.5602
6.400691  6.431298  14663746.2258
6.431298  6.455355  14599229.8100
6.455355  6.483553  14537124.4779
6.483553  6.517091  14477592.7937
6.517091  6.546151  14420815.3494
6.546151  6.570754  14366992.6343
6.570754  6.603757  14316347.1261
6.603757  6.628547  14269125.5444
6.628547  6.659177  14225601.1601
6.659177  6.690505  14186076.0165
6.690505  6.715783  14150882.8913
6.715783  6.747344  14120386.8285
6.747344  6.776391  14094986.0928
6.776391  6.805288  14075112.4584
6.805288  6.833544  14061230.8254
6.833544  6.864197  14053838.2593
6.864197  6.891756  14053462.6395
6.891756  6.921117  14060661.1719
6.921117  6.950805  14076019.0372
6.950805  6.978980  14100148.3895
6.978980  7.022732  14133687.7893
7.022732  7.047277  14177301.9356
7.047277  7.079803  14231681.2708
7.079803  7.104419  14297540.6733
7.104419  7.138597  14375616.0350
7.138597  7.161595  14466657.0786
7.161595  7.196296  14571414.3246
7.196296  7.220318  14690617.7742
7.220318  7.253368  14824944.7580
7.253368  7.277297  14974974.7291
7.277297  7.312184  15141129.7871
7.312184  7.334531  15323601.6169
7.334531  7.369768  15522268.3779
7.369768  7.393185  15736608.6843
7.393185  7.426874  15965623.6263
7.426874  7.450129  16207780.8723
7.450129  7.485761  16460996.1502
7.485761  7.507514  16722665.7613
7.507514  7.545647  16989758.6469
7.545647  7.567238  17258968.1189
7.567238  7.600648  17526912.9178
7.600648  7.623193  17790366.8983
7.623193  7.644900  18046488.9090
7.644900  7.659930  18293021.6061
7.659930  7.665328  18528431.2467
7.665328  7.674343  18751969.6605
7.674343  7.680404  18963652.7131
7.680404  7.692956  19164163.6574
7.692956  7.695864  19354701.5595
7.695864  7.708288  19536801.8977
7.708288  7.714105  19712157.2840
7.714105  7.723842  19882461.5007
7.723842  7.730286  20049291.5357
7.730286  7.742955  20214032.5762
7.742955  7.745712  20377842.4485
7.745712  7.757263  20541646.4564
7.757263  7.762580  20706151.5350
